time,hops
1,18
1,17
1,18
1,15
1,18
1,16
1,13
1,12
1,18
1,11
1,21
1,17
1,12
1,12
1,13
1,11
1,14
1,13
1,16
1,11
1,17
1,19
1,19
1,15
1,15
1,21
1,19
1,11
1,14
1,16
1,22
1,11
1,15
1,15
1,16
1,16
1,12
1,16
1,19
1,14
1,15
1,13
1,18
1,18
1,13
1,12
1,15
1,15
1,21
1,20
1,14
1,12
1,19
1,16
1,23
1,10
1,22
1,13
1,16
1,19
1,12
1,26
1,15
1,15
1,13
1,14
1,15
1,24
1,22
1,19
1,17
1,22
1,18
1,19
1,20
1,14
1,18
1,13
1,12
1,18
1,16
1,13
1,16
1,14
1,16
1,16
1,16
1,21
1,15
1,13
1,10
1,13
1,17
1,15
50,14
50,16
50,23
50,20
50,12
50,12
50,16
50,12
50,12
50,11
50,14
50,14
50,17
50,21
50,13
50,18
50,13
50,22
50,17
50,12
50,17
50,12
50,16
50,14
50,15
50,18
50,21
50,16
50,13
50,11
50,19
50,20
50,20
50,13
50,16
50,15
50,18
50,18
50,14
50,18
50,16
50,21
50,16
50,19
50,12
50,19
50,17
50,15
50,20
50,15
50,13
50,14
50,14
50,21
50,19
50,24
50,19
50,18
50,15
50,18
50,15
50,14
50,15
50,29
50,14
50,22
50,13
50,23
50,25
50,15
50,14
50,15
50,15
50,14
50,16
50,26
50,19
50,18
50,15
50,21
50,13
50,12
50,17
50,17
50,15
50,17
50,21
50,16
50,19
50,15
50,15
50,21
50,18
50,17
50,13
50,21
50,21
50,30
50,21
50,23
50,15
50,18
50,18
50,18
50,15
50,18
50,19
50,19
50,18
50,17
50,14
50,22
50,15
50,19
50,20
50,17
50,20
50,16
50,18
50,14
50,30
50,15
50,16
50,16
50,20
50,18
50,18
50,17
50,20
50,11
50,19
50,18
50,19
50,15
50,16
50,14
50,19
50,15
50,13
50,14
50,12
50,24
50,17
50,22
50,20
50,23
50,14
50,22
50,20
50,23
50,18
50,19
50,19
50,15
50,14
50,19
50,15
50,16
50,16
50,14
50,15
50,18
50,15
50,19
50,14
50,19
50,19
50,20
50,12
50,17
50,17
50,18
50,14
50,17
50,19
50,14
50,17
50,16
50,20
50,20
50,13
50,24
50,16
50,12
50,16
50,17
50,19
50,16
50,16
50,17
50,20
50,17
50,18
50,22
50,18
50,12
50,17
50,16
50,16
50,18
50,12
50,13
50,20
50,13
50,19
50,14
50,15
50,19
50,14
50,15
50,16
50,13
50,18
50,21
50,12
50,16
50,12
50,14
50,17
50,18
50,10
50,16
50,19
50,14
50,15
50,13
50,15
50,20
50,12
50,13
50,19
50,16
50,18
50,14
50,13
50,14
50,21
50,14
50,13
50,18
50,16
50,23
50,11
50,12
50,15
50,18
50,15
50,16
50,16
50,15
50,13
50,23
50,13
50,20
50,15
50,20
50,17
50,15
50,15
50,15
50,18
50,13
50,16
50,16
50,16
50,14
50,12
50,16
50,14
50,15
50,16
50,21
50,13
50,14
50,23
50,17
50,13
50,15
50,11
50,18
50,22
50,15
50,17
50,19
50,15
50,14
50,14
50,12
50,15
50,16
50,15
50,16
50,15
50,15
50,13
50,18
50,17
50,12
50,15
50,14
50,16
50,13
50,13
50,10
50,13
50,11
50,12
50,10
50,12
50,14
50,16
50,14
50,11
50,10
50,14
50,11
50,14
50,17
50,12
50,12
50,11
50,16
50,15
50,16
50,15
50,21
50,16
50,12
50,16
50,15
50,14
50,16
50,11
50,12
50,13
50,10
50,12
50,16
50,12
50,13
50,14
50,13
50,12
50,9
50,15
50,11
50,12
50,10
50,17
50,14
50,13
50,13
50,11
50,13
50,12
50,12
50,10
50,13
50,19
50,20
50,10
50,11
50,14
50,13
50,13
50,15
50,15
50,13
50,13
50,16
50,14
50,13
50,21
50,16
50,13
50,12
50,12
50,12
50,18
50,12
50,16
50,10
50,13
50,15
50,13
50,13
50,13
50,12
50,11
50,13
50,15
50,12
50,13
50,16
50,12
50,11
50,13
50,13
50,12
50,13
50,15
50,17
50,12
50,14
50,12
50,23
50,21
50,21
50,14
50,17
50,25
50,21
50,22
50,13
50,17
50,21
50,16
50,17
50,23
50,15
50,18
50,19
50,19
50,14
50,17
50,19
50,18
50,17
50,19
50,17
50,21
50,17
50,23
50,24
50,19
50,17
50,16
50,15
50,18
50,19
50,28
50,18
50,25
50,22
50,13
