nodes,avg
100,4.38
100,4.41
100,3.7
100,3.98
100,4.99
100,4.07
100,3.93
100,3.46
100,3.94
100,5.92
100,5.48
100,4.51
100,4.21
100,3.61
100,4.01
100,3.39
100,3.35
100,3.77
100,4.32
100,4.02
100,6.08
100,3.85
100,4.77
100,3.42
100,3.93
100,4.39
100,4.64
100,3.71
100,3.89
100,3.62
100,4.3
100,4.67
100,3.55
100,4.22
100,3.9
100,4.57
100,3.53
100,4.7
100,3.55
100,5.21
100,4.91
100,4.37
100,3.98
100,7.42
100,4.91
100,3.79
100,4.02
100,4.12
100,3.25
100,5.22
100,4.4
100,4.64
100,5.32
100,4.74
100,3.66
100,3.37
100,3.56
100,3.83
100,4.88
100,3.86
100,4.86
100,4.52
100,4.46
100,4.48
100,5.7
100,4.03
100,4.09
100,5.4
100,3.8
100,4.89
100,5.08
100,3.4
100,5.47
100,4.16
100,5.02
100,3.2
100,4.13
100,4.62
100,4.23
100,4.08
100,3.81
100,6.78
100,4.41
100,3.72
100,3.92
100,5.28
100,3.39
100,3.72
100,3.86
100,3.67
100,7.68
100,3.62
100,3.3
100,3.73
250,3.232
250,3.252
250,3.32
250,3.348
250,3.3
250,3.272
250,3.7
250,3.36
250,3.46
250,3.204
250,3.204
250,3.42
250,3.348
250,3.308
250,3.46
250,3.376
250,3.264
250,3.3
250,3.284
250,3.332
250,3.308
250,3.368
250,3.26
250,3.196
250,3.336
250,3.24
250,3.316
250,3.296
250,3.336
250,3.32
250,3.32
250,3.244
250,3.188
250,3.228
250,3.372
250,3.348
250,3.264
250,3.288
250,3.368
250,3.36
250,3.34
250,3.308
250,3.564
250,3.312
250,3.34
250,3.324
250,3.32
250,3.368
250,3.304
250,3.264
250,3.204
250,3.248
250,3.272
250,3.376
250,3.236
250,3.324
250,3.268
250,3.268
250,3.244
250,3.34
250,3.284
250,3.244
250,3.52
250,3.328
250,3.34
250,3.304
250,3.224
250,3.284
250,3.308
250,3.2
250,3.264
250,3.2
250,3.3
250,3.248
250,3.428
250,3.268
250,3.3
250,3.392
250,3.268
250,3.348
250,3.372
250,3.248
250,3.296
250,3.352
250,3.38
250,3.3
250,3.24
250,3.22
250,3.28
250,3.332
250,3.372
250,3.328
250,3.276
250,3.452
250,3.244
250,3.348
250,3.388
250,3.348
250,3.408
250,3.388
400,3.3375
400,3.265
400,3.2625
400,3.1825
400,3.3125
400,3.2525
400,3.275
400,3.32
400,3.2775
400,3.215
400,3.325
400,3.225
400,3.2675
400,3.1975
400,3.385
400,3.23
400,3.215
400,3.295
400,3.3
400,3.335
400,3.26
400,3.3025
400,3.2025
400,3.2425
400,3.3275
400,3.3275
400,3.225
400,3.305
400,3.295
400,3.3
400,3.27
400,3.1975
400,3.2025
400,3.2125
400,3.24
400,3.2
400,3.285
400,3.2825
400,3.3975
400,3.235
400,3.3325
400,3.2375
400,3.2075
400,3.28
400,3.31
400,3.2475
400,3.215
400,3.2525
400,3.25
400,3.295
400,3.2825
400,3.3275
400,3.3225
400,3.28
400,3.305
400,3.25
400,3.2825
400,3.255
400,3.265
400,3.29
400,3.24
400,3.3375
400,3.245
400,3.2125
400,3.33
400,3.315
400,3.3325
400,3.24
400,3.24
400,3.3125
400,3.27
400,3.26
400,3.305
400,3.3525
400,3.245
400,3.2825
400,3.28
400,3.2475
400,3.3425
400,3.2825
400,3.295
400,3.205
400,3.255
400,3.2425
400,3.4175
400,3.2625
400,3.23
400,3.29
400,3.245
400,3.2475
400,3.3075
400,3.285
400,3.2275
400,3.1975
400,3.4475
400,3.23
400,3.245
400,3.22
400,3.2425
400,3.2175
550,3.283636
550,3.318182
550,3.252727
550,3.3
550,3.172727
550,3.236364
550,3.307273
550,3.22
550,3.294545
550,3.258182
550,3.325455
550,3.32
550,3.296364
550,3.28
550,3.274545
550,3.285455
550,3.298182
550,3.212727
550,3.252727
550,3.298182
550,3.209091
550,3.278182
550,3.26
550,3.283636
550,3.26
550,3.349091
550,3.256364
550,3.292727
550,3.24
550,3.218182
550,3.261818
550,3.270909
550,3.28
550,3.309091
550,3.198182
550,3.301818
550,3.198182
550,3.283636
550,3.272727
550,3.230909
550,3.258182
550,3.274545
550,3.24
550,3.356364
550,3.296364
550,3.205455
550,3.290909
550,3.250909
550,3.269091
550,3.229091
550,3.225455
550,3.252727
550,3.285455
550,3.352727
550,3.265455
550,3.309091
550,3.232727
550,3.247273
550,3.243636
550,3.276364
550,3.269091
550,3.307273
550,3.28
550,3.247273
550,3.278182
550,3.247273
550,3.301818
550,3.303636
550,3.26
550,3.318182
550,3.292727
550,3.285455
550,3.267273
550,3.249091
550,3.232727
550,3.269091
550,3.334545
550,3.283636
550,3.26
550,3.263636
550,3.281818
550,3.276364
550,3.24
550,3.26
550,3.290909
550,3.349091
550,3.205455
550,3.276364
550,3.274545
550,3.28
550,3.278182
550,3.290909
550,3.241818
550,3.232727
550,3.330909
550,3.290909
550,3.298182
550,3.269091
550,3.318182
550,3.352727
700,3.31
700,3.265714
700,3.351429
700,3.242857
700,3.305714
700,3.251429
700,3.271429
700,3.232857
700,3.232857
700,3.282857
700,3.267143
700,3.208571
700,3.237143
700,3.288571
700,3.242857
700,3.24
700,3.294286
700,3.331429
700,3.187143
700,3.267143
700,3.26
700,3.278571
700,3.288571
700,3.262857
700,3.348571
700,3.198571
700,3.227143
700,3.248571
700,3.245714
700,3.264286
700,3.32
700,3.295714
700,3.264286
700,3.302857
700,3.261429
700,3.264286
700,3.277143
700,3.29
700,3.311429
700,3.222857
700,3.215714
700,3.27
700,3.271429
700,3.327143
700,3.327143
700,3.254286
700,3.282857
700,3.26
700,3.297143
700,3.234286
700,3.217143
700,3.297143
700,3.245714
700,3.277143
700,3.247143
700,3.287143
700,3.247143
700,3.294286
700,3.32
700,3.26
700,3.241429
700,3.282857
700,3.28
700,3.261429
700,3.278571
700,3.257143
700,3.258571
700,3.278571
700,3.262857
700,3.222857
700,3.33
700,3.23
700,3.242857
700,3.251429
700,3.231429
700,3.24
700,3.274286
700,3.284286
700,3.214286
700,3.362857
700,3.291429
700,3.237143
700,3.204286
700,3.3
700,3.262857
700,3.277143
700,3.33
700,3.271429
700,3.272857
700,3.25
700,3.235714
700,3.304286
700,3.288571
700,3.322857
700,3.277143
700,3.201429
700,3.247143
700,3.262857
700,3.204286
700,3.272857
850,3.248125
850,3.243125
850,3.261875
850,3.280625
850,3.27125
850,3.259375
850,3.288125
850,3.298125
850,3.225
850,3.265625
850,3.25875
850,3.24125
850,3.243125
850,3.28375
850,3.24875
850,3.27625
850,3.2525
850,3.249375
850,3.2675
850,3.26
850,3.235625
850,3.3
850,3.241875
850,3.28
850,3.241875
850,3.275
850,3.259375
850,3.253125
850,3.253125
850,3.243125
850,3.2375
850,3.26125
850,3.261875
850,3.286875
850,3.249375
850,3.24125
850,3.251875
850,3.235
850,3.26125
850,3.298125
850,3.231875
850,3.279375
850,3.31625
850,3.26875
1000,3.248125
1000,3.243125
1000,3.261875
1000,3.280625
1000,3.27125
1000,3.259375
1000,3.288125
1000,3.298125
1000,3.225
1000,3.265625
1000,3.25875
1000,3.24125
1000,3.243125
1000,3.28375
1000,3.24875
1000,3.27625
1000,3.2525
1000,3.249375
1000,3.2675
1000,3.26
1000,3.235625
1000,3.3
1000,3.241875
1000,3.28
1000,3.241875
1000,3.275
1000,3.259375
1000,3.253125
1000,3.253125
1000,3.243125
1000,3.2375
1000,3.26125
1000,3.261875
1000,3.286875
1000,3.249375
1000,3.24125
1000,3.251875
1000,3.235
1000,3.26125
1000,3.298125
1000,3.231875
1000,3.279375
1000,3.31625
1000,3.26875
1150,3.257391
1150,3.291304
1150,3.241739
1150,3.253913
1150,3.266087
1150,3.264348
