nodes,st
100,35
100,25
100,25
100,70
100,40
100,20
100,20
100,15
100,30
100,20
100,35
100,15
100,30
100,15
100,15
100,15
100,20
100,30
100,25
100,20
100,20
100,15
100,15
100,25
100,20
100,35
100,20
100,15
100,20
100,10
100,20
100,20
100,25
100,40
100,20
100,15
100,15
100,15
100,40
100,25
100,10
100,35
100,15
100,25
100,20
100,25
100,40
100,30
100,30
100,20
100,20
100,15
100,25
100,15
100,20
100,15
100,15
100,25
100,20
100,15
100,25
100,30
100,20
100,35
100,25
100,30
100,25
100,20
100,15
100,25
100,20
100,15
100,25
100,15
100,35
100,35
100,80
100,15
100,15
100,40
100,20
100,70
100,40
100,40
100,20
100,40
100,20
100,30
100,20
100,30
100,15
100,15
100,30
100,25
250,10
250,10
250,15
250,15
250,15
250,15
250,10
250,10
250,25
250,15
250,10
250,15
250,10
250,10
250,15
250,10
250,20
250,10
250,15
250,15
250,15
250,20
250,10
250,15
250,15
250,15
250,10
250,20
250,10
250,15
250,15
250,10
250,15
250,15
250,10
250,15
250,15
250,15
250,15
250,15
250,10
250,15
250,15
250,10
250,15
250,20
250,15
250,10
250,15
250,20
250,10
250,15
250,10
250,15
250,10
250,15
250,10
250,10
250,20
250,15
250,10
250,15
250,10
250,15
250,10
250,15
250,10
250,15
250,10
250,20
250,10
250,15
250,15
250,10
250,15
250,20
250,15
250,10
250,10
250,10
250,15
250,15
250,15
250,15
250,15
250,20
250,15
250,20
250,10
250,15
250,15
250,15
250,15
250,15
250,15
250,15
250,10
250,15
250,20
250,15
400,15
400,10
400,15
400,15
400,15
400,15
400,15
400,15
400,20
400,15
400,15
400,15
400,15
400,10
400,15
400,15
400,15
400,15
400,10
400,15
400,10
400,15
400,15
400,15
400,10
400,10
400,20
400,15
400,10
400,15
400,10
400,20
400,10
400,10
400,15
400,10
400,15
400,10
400,15
400,10
400,15
400,10
400,10
400,15
400,15
400,15
400,15
400,10
400,10
400,20
400,15
400,10
400,10
400,10
400,15
400,15
400,15
400,15
400,10
400,15
400,10
400,10
400,10
400,15
400,10
400,15
400,15
400,15
400,15
400,15
400,15
400,15
400,15
400,20
400,15
400,15
400,20
400,15
400,15
400,15
400,10
400,15
400,15
400,15
400,15
400,10
400,15
400,15
400,10
400,15
400,10
400,15
400,10
400,15
400,20
400,15
400,10
400,20
400,15
400,15
550,15
550,15
550,10
550,10
550,15
550,15
550,15
550,15
550,15
550,15
550,10
550,15
550,15
550,10
550,15
550,10
550,15
550,15
550,15
550,10
550,10
550,15
550,10
550,15
550,15
550,15
550,15
550,10
550,15
550,10
550,15
550,15
550,15
550,10
550,15
550,10
550,10
550,10
550,15
550,15
550,15
550,15
550,15
550,20
550,10
550,10
550,15
550,15
550,15
550,10
550,10
550,15
550,10
550,10
550,15
550,10
550,15
550,15
550,15
550,15
550,15
550,15
550,15
550,15
550,10
550,15
550,10
550,10
550,15
550,15
550,10
550,15
550,10
550,10
550,10
550,15
550,15
550,15
550,15
550,10
550,10
550,15
550,15
550,15
550,15
550,20
550,15
550,15
550,10
550,20
550,10
550,15
550,15
550,15
550,15
550,15
550,15
550,15
550,15
550,15
700,15
700,15
700,10
700,10
700,15
700,10
700,10
700,15
700,15
700,15
700,15
700,10
700,15
700,10
700,15
700,10
700,15
700,10
700,10
700,15
700,15
700,10
700,15
700,10
700,20
700,15
700,10
700,15
700,15
700,15
700,15
700,15
700,15
700,15
700,10
700,15
700,15
700,15
700,10
700,15
700,15
700,15
700,15
700,15
700,10
700,15
700,15
700,15
700,15
700,10
700,15
700,15
700,10
700,15
700,15
700,15
700,15
700,10
700,10
700,15
700,15
700,15
700,15
700,10
700,15
700,15
700,15
700,10
700,10
700,15
700,10
700,10
700,15
700,10
700,15
700,15
700,15
700,15
700,10
700,10
700,15
700,15
700,10
700,10
700,15
700,15
700,10
700,15
700,15
700,15
700,15
700,15
700,20
700,15
700,15
700,15
700,15
700,15
700,10
700,15
850,15
850,20
850,15
850,15
850,15
850,10
850,10
850,15
850,15
850,15
850,15
850,15
850,10
850,15
850,10
850,15
850,15
850,15
850,15
850,15
850,15
850,20
850,15
850,15
850,15
850,15
850,10
850,15
850,15
850,15
850,15
850,15
850,15
850,15
850,15
850,15
850,10
850,15
850,15
850,15
850,15
850,10
850,15
850,10
850,15
850,10
850,15
850,15
850,15
850,15
850,10
850,10
850,15
850,15
850,15
850,15
850,10
850,15
850,15
850,15
850,10
850,15
850,10
850,15
850,15
850,15
850,15
850,15
850,15
850,15
850,15
850,15
850,10
850,15
850,15
850,15
850,15
850,15
850,15
850,15
850,15
850,15
850,15
850,15
850,15
850,15
850,15
850,15
850,15
850,15
850,15
850,15
850,15
850,10
850,15
850,15
850,10
850,15
850,15
850,10
