nodes,avgmsg,se
1000,3.337000,3.010459
1000,3.280000,2.953459
1000,3.259000,2.932459
1000,3.253000,2.926459
1000,3.264000,2.937459
1000,3.231000,2.904459
1000,3.272000,2.945459
1000,3.251000,2.924459
1000,3.272000,2.945459
1000,3.269000,2.942459
1000,3.308000,2.981459
1000,3.257000,2.930459
1000,3.295000,2.968459
1000,3.252000,2.925459
1000,3.269000,2.942459
1000,3.248000,2.921459
1000,3.232000,2.905459
1000,3.263000,2.936459
1000,3.276000,2.949459
1000,3.257000,2.930459
1000,3.238000,2.911459
1000,3.253000,2.926459
1000,3.261000,2.934459
1000,3.265000,2.938459
1000,3.272000,2.945459
1000,3.259000,2.932459
1000,3.267000,2.940459
1000,3.255000,2.928459
1000,3.258000,2.931459
1000,3.247000,2.920459
1000,3.297000,2.970459
1000,3.236000,2.909459
1000,3.251000,2.924459
1000,3.264000,2.937459
1000,3.266000,2.939459
1000,3.262000,2.935459
1000,3.229000,2.902459
1000,3.268000,2.941459
1000,3.250000,2.923459
1000,3.286000,2.959459
1000,3.277000,2.950459
1000,3.244000,2.917459
1000,3.264000,2.937459
1000,3.270000,2.943459
1000,3.295000,2.968459
1000,3.273000,2.946459
1000,3.264000,2.937459
1000,3.229000,2.902459
1000,3.310000,2.983459
1000,3.270000,2.943459
1000,3.243000,2.916459
1000,3.328000,3.001459
1000,3.215000,2.888459
1000,3.232000,2.905459
1000,3.334000,3.007459
1000,3.249000,2.922459
1000,3.284000,2.957459
1000,3.251000,2.924459
1000,3.260000,2.933459
1000,3.234000,2.907459
1000,3.223000,2.896459
1000,3.296000,2.969459
1000,3.254000,2.927459
1000,3.266000,2.939459
1000,3.268000,2.941459
1000,3.254000,2.927459
1000,3.297000,2.970459
1000,3.243000,2.916459
1000,3.305000,2.978459
1000,3.288000,2.961459
1000,3.244000,2.917459
1000,3.271000,2.944459
1000,3.301000,2.974459
1000,3.286000,2.959459
1000,3.289000,2.962459
1000,3.277000,2.950459
1000,3.242000,2.915459
1000,3.293000,2.966459
1000,3.233000,2.906459
1000,3.285000,2.958459
1000,3.270000,2.943459
1000,3.274000,2.947459
1000,3.270000,2.943459
1000,3.225000,2.898459
1000,3.258000,2.931459
1000,3.251000,2.924459
1000,3.293000,2.966459
1000,3.272000,2.945459
1000,3.256000,2.929459
1000,3.313000,2.986459
1000,3.263000,2.936459
1000,3.240000,2.913459
1000,3.318000,2.991459
1000,3.227000,2.900459
1000,3.240000,2.913459
1000,3.250000,2.923459
1000,3.258000,2.931459
1000,3.264000,2.937459
1000,3.281000,2.954459
1000,3.248000,2.921459
100,4.380000,0.3129
100,4.410000,0.3429
100,3.700000,0.3671
100,3.980000,0.0871
100,4.990000,0.9229
100,4.070000,0.0029
100,3.930000,0.1371
100,3.460000,0.6071
100,3.940000,0.1271
100,5.920000,1.8529
100,5.480000,1.4129
100,4.510000,0.4429
100,4.210000,0.1429
100,3.610000,0.4571
100,4.010000,0.0571
100,3.390000,0.6771
100,3.350000,0.7171
100,3.770000,0.2971
100,4.320000,0.2529
100,4.020000,0.0471
100,6.080000,2.0129
100,3.850000,0.2171
100,4.770000,0.7029
100,3.420000,0.6471
100,3.930000,0.1371
100,4.390000,0.3229
100,4.640000,0.5729
100,3.710000,0.3571
100,3.890000,0.1771
100,3.620000,0.4471
100,4.300000,0.2329
100,4.670000,0.6029
100,3.550000,0.5171
100,4.220000,0.1529
100,3.900000,0.1671
100,4.570000,0.5029
100,3.530000,0.5371
100,4.700000,0.6329
100,3.550000,0.5171
100,5.210000,1.1429
100,4.910000,0.8429
100,4.370000,0.3029
100,3.980000,0.0871
100,7.420000,3.3529
100,4.910000,0.8429
100,3.790000,0.2771
100,4.020000,0.0471
100,4.120000,0.0529
100,3.250000,0.8171
100,5.220000,1.1529
100,4.400000,0.3329
100,4.640000,0.5729
100,5.320000,1.2529
100,4.740000,0.6729
100,3.660000,0.4071
100,3.370000,0.6971
100,3.560000,0.5071
100,3.830000,0.2371
100,4.880000,0.8129
100,3.860000,0.2071
100,4.860000,0.7929
100,4.520000,0.4529
100,4.460000,0.3929
100,4.480000,0.4129
100,5.700000,1.6329
100,4.030000,0.0371
100,4.090000,0.0229
100,5.400000,1.3329
100,3.800000,0.2671
100,4.890000,0.8229
100,5.080000,1.0129
100,3.400000,0.6671
100,5.470000,1.4029
100,4.160000,0.0929
100,5.020000,0.9529
100,3.200000,0.8671
100,4.130000,0.0629
100,4.620000,0.5529
100,4.230000,0.1629
100,4.080000,0.0129
100,3.810000,0.2571
100,6.780000,2.7129
100,4.410000,0.3429
100,3.720000,0.3471
100,3.920000,0.1471
100,5.280000,1.2129
100,3.390000,0.6771
100,3.720000,0.3471
100,3.860000,0.2071
100,3.670000,0.3971
100,7.680000,3.6129
100,3.620000,0.4471
100,3.300000,0.7671
100,3.730000,0.3371
1150,3.257391,3.06419780261
1150,3.291304,3.09811080261
1150,3.241739,3.04854580261
1150,3.253913,3.06071980261
1150,3.266087,3.07289380261
1150,3.264348,3.07115480261
1150,3.260000,3.06680680261
1150,3.270435,3.07724180261
1150,3.282609,3.08941580261
1150,3.277391,3.08419780261
1150,3.282609,3.08941580261
1150,3.255652,3.06245880261
1150,3.275652,3.08245880261
1150,3.269565,3.07637180261
1150,3.270435,3.07724180261
1150,3.283478,3.09028480261
1150,3.260870,3.06767680261
1150,3.265217,3.07202380261
1150,3.280870,3.08767680261
1150,3.266087,3.07289380261
1150,3.252174,3.05898080261
1150,3.280000,3.08680680261
1150,3.245217,3.05202380261
1150,3.264348,3.07115480261
1150,3.278261,3.08506780261
1150,3.303478,3.11028480261
1150,3.269565,3.07637180261
1150,3.254783,3.06158980261
1150,3.274783,3.08158980261
1150,3.240000,3.04680680261
1150,3.309565,3.11637180261
1150,3.286087,3.09289380261
1150,3.236522,3.04332880261
1150,3.254783,3.06158980261
1150,3.266957,3.07376380261
1150,3.276522,3.08332880261
1150,3.262609,3.06941580261
1150,3.246957,3.05376380261
1150,3.280870,3.08767680261
1150,3.279130,3.08593680261
1150,3.266957,3.07376380261
1150,3.262609,3.06941580261
1150,3.248696,3.05550280261
1150,3.243478,3.05028480261
1150,3.251304,3.05811080261
1150,3.249565,3.05637180261
1150,3.253913,3.06071980261
1150,3.289565,3.09637180261
1150,3.264348,3.07115480261
1150,3.297391,3.10419780261
1150,3.287826,3.09463280261
1150,3.252174,3.05898080261
1150,3.233913,3.04071980261
1150,3.253913,3.06071980261
1150,3.271304,3.07811080261
1150,3.286087,3.09289380261
1150,3.254783,3.06158980261
1150,3.242609,3.04941580261
1150,3.293913,3.10071980261
1150,3.250435,3.05724180261
1150,3.304348,3.11115480261
1150,3.280870,3.08767680261
1150,3.273913,3.08071980261
1150,3.282609,3.08941580261
1150,3.249565,3.05637180261
1150,3.262609,3.06941580261
1150,3.265217,3.07202380261
1150,3.260000,3.06680680261
1300,3.276923,3.19159045615
1300,3.225385,3.14005245615
1300,3.297692,3.21235945615
1300,3.274615,3.18928245615
1300,3.247692,3.16235945615
1300,3.303077,3.21774445615
1300,3.280769,3.19543645615
1300,3.236154,3.15082145615
1300,3.283077,3.19774445615
1300,3.234615,3.14928245615
1300,3.258462,3.17312945615
1300,3.291538,3.20620545615
1300,3.246154,3.16082145615
1300,3.233077,3.14774445615
1300,3.236923,3.15159045615
1300,3.257692,3.17235945615
1300,3.250769,3.16543645615
1300,3.251538,3.16620545615
1300,3.226923,3.14159045615
1300,3.236923,3.15159045615
1300,3.283077,3.19774445615
1300,3.298462,3.21312945615
1300,3.282308,3.19697545615
1300,3.280769,3.19543645615
1300,3.220000,3.13466745615
1300,3.256923,3.17159045615
1300,3.258462,3.17312945615
1300,3.239231,3.15389845615
1300,3.272308,3.18697545615
1300,3.284615,3.19928245615
1300,3.292308,3.20697545615
1300,3.268462,3.18312945615
1300,3.251538,3.16620545615
1300,3.293846,3.20851345615
1450,3.304828,3.24335689172
1450,3.253793,3.19232189172
1450,3.259310,3.19783889172
1450,3.231724,3.17025289172
1450,3.284828,3.22335689172
1450,3.233103,3.17163189172
1450,3.243448,3.18197689172
1450,3.284828,3.22335689172
1450,3.282069,3.22059789172
1450,3.264828,3.20335689172
1450,3.332414,3.27094289172
1450,3.248966,3.18749489172
1450,3.262759,3.20128789172
1450,3.260000,3.19852889172
1450,3.262069,3.20059789172
1450,3.264138,3.20266689172
1450,3.214483,3.15301189172
1450,3.272414,3.21094289172
1450,4.264828,4.20335689172
1450,3.228276,3.16680489172
1450,3.226207,3.16473589172
1450,3.299310,3.23783889172
1450,3.262759,3.20128789172
1450,3.262759,3.20128789172
1450,3.266207,3.20473589172
1450,3.292414,3.23094289172
1450,3.270345,3.20887389172
1600,3.248125,3.21755195313
1600,3.243125,3.21255195313
1600,3.261875,3.23130195313
1600,3.280625,3.25005195313
1600,3.271250,3.24067695313
1600,3.259375,3.22880195313
1600,3.288125,3.25755195313
1600,3.298125,3.26755195313
1600,3.225000,3.19442695313
1600,3.265625,3.23505195313
1600,3.258750,3.22817695313
1600,3.241250,3.21067695313
1600,3.243125,3.21255195313
1600,3.283750,3.25317695313
1600,3.248750,3.21817695312
250,3.232000,1.905808
250,3.252000,1.925808
250,3.320000,1.993808
250,3.348000,2.021808
250,3.300000,1.973808
250,3.272000,1.945808
250,3.700000,2.373808
250,3.360000,2.033808
250,3.460000,2.133808
250,3.204000,1.877808
250,3.204000,1.877808
250,3.420000,2.093808
250,3.348000,2.021808
250,3.308000,1.981808
250,3.460000,2.133808
250,3.376000,2.049808
250,3.264000,1.937808
250,3.300000,1.973808
250,3.284000,1.957808
250,3.332000,2.005808
250,3.308000,1.981808
250,3.368000,2.041808
250,3.260000,1.933808
250,3.196000,1.869808
250,3.336000,2.009808
250,3.240000,1.913808
250,3.316000,1.989808
250,3.296000,1.969808
250,3.336000,2.009808
250,3.320000,1.993808
250,3.320000,1.993808
250,3.244000,1.917808
250,3.188000,1.861808
250,3.228000,1.901808
250,3.372000,2.045808
250,3.348000,2.021808
250,3.264000,1.937808
250,3.288000,1.961808
250,3.368000,2.041808
250,3.360000,2.033808
250,3.340000,2.013808
250,3.308000,1.981808
250,3.564000,2.237808
250,3.312000,1.985808
250,3.340000,2.013808
250,3.324000,1.997808
250,3.320000,1.993808
250,3.368000,2.041808
250,3.304000,1.977808
250,3.264000,1.937808
250,3.204000,1.877808
250,3.248000,1.921808
250,3.272000,1.945808
250,3.376000,2.049808
250,3.236000,1.909808
250,3.324000,1.997808
250,3.268000,1.941808
250,3.268000,1.941808
250,3.244000,1.917808
250,3.340000,2.013808
250,3.284000,1.957808
250,3.244000,1.917808
250,3.520000,2.193808
250,3.328000,2.001808
250,3.340000,2.013808
250,3.304000,1.977808
250,3.224000,1.897808
250,3.284000,1.957808
250,3.308000,1.981808
250,3.200000,1.873808
250,3.264000,1.937808
250,3.200000,1.873808
250,3.300000,1.973808
250,3.248000,1.921808
250,3.428000,2.101808
250,3.268000,1.941808
250,3.300000,1.973808
250,3.392000,2.065808
250,3.268000,1.941808
250,3.348000,2.021808
250,3.372000,2.045808
250,3.248000,1.921808
250,3.296000,1.969808
250,3.352000,2.025808
250,3.380000,2.053808
250,3.300000,1.973808
250,3.240000,1.913808
250,3.220000,1.893808
250,3.280000,1.953808
250,3.332000,2.005808
250,3.372000,2.045808
250,3.328000,2.001808
250,3.276000,1.949808
250,3.452000,2.125808
250,3.244000,1.917808
250,3.348000,2.021808
250,3.388000,2.061808
250,3.348000,2.021808
250,3.408000,2.081808
250,3.388000,2.061808
400,3.337500,2.5193625
400,3.265000,2.4468625
400,3.262500,2.4443625
400,3.182500,2.3643625
400,3.312500,2.4943625
400,3.252500,2.4343625
400,3.275000,2.4568625
400,3.320000,2.5018625
400,3.277500,2.4593625
400,3.215000,2.3968625
400,3.325000,2.5068625
400,3.225000,2.4068625
400,3.267500,2.4493625
400,3.197500,2.3793625
400,3.385000,2.5668625
400,3.230000,2.4118625
400,3.215000,2.3968625
400,3.295000,2.4768625
400,3.300000,2.4818625
400,3.335000,2.5168625
400,3.260000,2.4418625
400,3.302500,2.4843625
400,3.202500,2.3843625
400,3.242500,2.4243625
400,3.327500,2.5093625
400,3.327500,2.5093625
400,3.225000,2.4068625
400,3.305000,2.4868625
400,3.295000,2.4768625
400,3.300000,2.4818625
400,3.270000,2.4518625
400,3.197500,2.3793625
400,3.202500,2.3843625
400,3.212500,2.3943625
400,3.240000,2.4218625
400,3.200000,2.3818625
400,3.285000,2.4668625
400,3.282500,2.4643625
400,3.397500,2.5793625
400,3.235000,2.4168625
400,3.332500,2.5143625
400,3.237500,2.4193625
400,3.207500,2.3893625
400,3.280000,2.4618625
400,3.310000,2.4918625
400,3.247500,2.4293625
400,3.215000,2.3968625
400,3.252500,2.4343625
400,3.250000,2.4318625
400,3.295000,2.4768625
400,3.282500,2.4643625
400,3.327500,2.5093625
400,3.322500,2.5043625
400,3.280000,2.4618625
400,3.305000,2.4868625
400,3.250000,2.4318625
400,3.282500,2.4643625
400,3.255000,2.4368625
400,3.265000,2.4468625
400,3.290000,2.4718625
400,3.240000,2.4218625
400,3.337500,2.5193625
400,3.245000,2.4268625
400,3.212500,2.3943625
400,3.330000,2.5118625
400,3.315000,2.4968625
400,3.332500,2.5143625
400,3.240000,2.4218625
400,3.240000,2.4218625
400,3.312500,2.4943625
400,3.270000,2.4518625
400,3.260000,2.4418625
400,3.305000,2.4868625
400,3.352500,2.5343625
400,3.245000,2.4268625
400,3.282500,2.4643625
400,3.280000,2.4618625
400,3.247500,2.4293625
400,3.342500,2.5243625
400,3.282500,2.4643625
400,3.295000,2.4768625
400,3.205000,2.3868625
400,3.255000,2.4368625
400,3.242500,2.4243625
400,3.417500,2.5993625
400,3.262500,2.4443625
400,3.230000,2.4118625
400,3.290000,2.4718625
400,3.245000,2.4268625
400,3.247500,2.4293625
400,3.307500,2.4893625
400,3.285000,2.4668625
400,3.227500,2.4093625
400,3.197500,2.3793625
400,3.447500,2.6293625
400,3.230000,2.4118625
400,3.245000,2.4268625
400,3.220000,2.4018625
400,3.242500,2.4243625
400,3.217500,2.3993625
550,3.283636,2.68855831091
550,3.318182,2.72310431091
550,3.252727,2.65764931091
550,3.300000,2.70492231091
550,3.172727,2.57764931091
550,3.236364,2.64128631091
550,3.307273,2.71219531091
550,3.220000,2.62492231091
550,3.294545,2.69946731091
550,3.258182,2.66310431091
550,3.325455,2.73037731091
