nodes,avgmsg,se
1000,3.337000,0.07159
1000,3.280000,0.01459
1000,3.259000,0.00641
1000,3.253000,0.01241
1000,3.264000,0.00141
1000,3.231000,0.03441
1000,3.272000,0.00659
1000,3.251000,0.01441
1000,3.272000,0.00659
1000,3.269000,0.00359
1000,3.308000,0.04259
1000,3.257000,0.00841
1000,3.295000,0.02959
1000,3.252000,0.01341
1000,3.269000,0.00359
1000,3.248000,0.01741
1000,3.232000,0.03341
1000,3.263000,0.00241
1000,3.276000,0.01059
1000,3.257000,0.00841
1000,3.238000,0.02741
1000,3.253000,0.01241
1000,3.261000,0.00441
1000,3.265000,0.000409999999998
1000,3.272000,0.00659
1000,3.259000,0.00641
1000,3.267000,0.00159
1000,3.255000,0.01041
1000,3.258000,0.00741
1000,3.247000,0.01841
1000,3.297000,0.03159
1000,3.236000,0.02941
1000,3.251000,0.01441
1000,3.264000,0.00141
1000,3.266000,0.000590000000002
1000,3.262000,0.00341
1000,3.229000,0.03641
1000,3.268000,0.00259
1000,3.250000,0.01541
1000,3.286000,0.02059
1000,3.277000,0.01159
1000,3.244000,0.02141
1000,3.264000,0.00141
1000,3.270000,0.00459
1000,3.295000,0.02959
1000,3.273000,0.00759
1000,3.264000,0.00141
1000,3.229000,0.03641
1000,3.310000,0.04459
1000,3.270000,0.00459
1000,3.243000,0.02241
1000,3.328000,0.06259
1000,3.215000,0.05041
1000,3.232000,0.03341
1000,3.334000,0.06859
1000,3.249000,0.01641
1000,3.284000,0.01859
1000,3.251000,0.01441
1000,3.260000,0.00541
1000,3.234000,0.03141
1000,3.223000,0.04241
1000,3.296000,0.03059
1000,3.254000,0.01141
1000,3.266000,0.000590000000002
1000,3.268000,0.00259
1000,3.254000,0.01141
1000,3.297000,0.03159
1000,3.243000,0.02241
1000,3.305000,0.03959
1000,3.288000,0.02259
1000,3.244000,0.02141
1000,3.271000,0.00559
1000,3.301000,0.03559
1000,3.286000,0.02059
1000,3.289000,0.02359
1000,3.277000,0.01159
1000,3.242000,0.02341
1000,3.293000,0.02759
1000,3.233000,0.03241
1000,3.285000,0.01959
1000,3.270000,0.00459
1000,3.274000,0.00859
1000,3.270000,0.00459
1000,3.225000,0.04041
1000,3.258000,0.00741
1000,3.251000,0.01441
1000,3.293000,0.02759
1000,3.272000,0.00659
1000,3.256000,0.00941
1000,3.313000,0.04759
1000,3.263000,0.00241
1000,3.240000,0.02541
1000,3.318000,0.05259
1000,3.227000,0.03841
1000,3.240000,0.02541
1000,3.250000,0.01541
1000,3.258000,0.00741
1000,3.264000,0.00141
1000,3.281000,0.01559
1000,3.248000,0.01741
100,4.380000,0.0532978723404
100,4.410000,0.0832978723404
100,3.700000,0.62670212766
100,3.980000,0.34670212766
100,4.990000,0.66329787234
100,4.070000,0.25670212766
100,3.930000,0.39670212766
100,3.460000,0.86670212766
100,3.940000,0.38670212766
100,5.920000,1.59329787234
100,5.480000,1.15329787234
100,4.510000,0.18329787234
100,4.210000,0.11670212766
100,3.610000,0.71670212766
100,4.010000,0.31670212766
100,3.390000,0.93670212766
100,3.350000,0.97670212766
100,3.770000,0.55670212766
100,4.320000,0.00670212765957
100,4.020000,0.30670212766
100,6.080000,1.75329787234
100,3.850000,0.47670212766
100,4.770000,0.44329787234
100,3.420000,0.90670212766
100,3.930000,0.39670212766
100,4.390000,0.0632978723404
100,4.640000,0.31329787234
100,3.710000,0.61670212766
100,3.890000,0.43670212766
100,3.620000,0.70670212766
100,4.300000,0.0267021276596
100,4.670000,0.34329787234
100,3.550000,0.77670212766
100,4.220000,0.10670212766
100,3.900000,0.42670212766
100,4.570000,0.24329787234
100,3.530000,0.79670212766
100,4.700000,0.37329787234
100,3.550000,0.77670212766
100,5.210000,0.88329787234
100,4.910000,0.58329787234
100,4.370000,0.0432978723404
100,3.980000,0.34670212766
100,7.420000,3.09329787234
100,4.910000,0.58329787234
100,3.790000,0.53670212766
100,4.020000,0.30670212766
100,4.120000,0.20670212766
100,3.250000,1.07670212766
100,5.220000,0.89329787234
100,4.400000,0.0732978723404
100,4.640000,0.31329787234
100,5.320000,0.99329787234
100,4.740000,0.41329787234
100,3.660000,0.66670212766
100,3.370000,0.95670212766
100,3.560000,0.76670212766
100,3.830000,0.49670212766
100,4.880000,0.55329787234
100,3.860000,0.46670212766
100,4.860000,0.53329787234
100,4.520000,0.19329787234
100,4.460000,0.13329787234
100,4.480000,0.15329787234
100,5.700000,1.37329787234
100,4.030000,0.29670212766
100,4.090000,0.23670212766
100,5.400000,1.07329787234
100,3.800000,0.52670212766
100,4.890000,0.56329787234
100,5.080000,0.75329787234
100,3.400000,0.92670212766
100,5.470000,1.14329787234
100,4.160000,0.16670212766
100,5.020000,0.69329787234
100,3.200000,1.12670212766
100,4.130000,0.19670212766
100,4.620000,0.29329787234
100,4.230000,0.0967021276596
100,4.080000,0.24670212766
100,3.810000,0.51670212766
100,6.780000,2.45329787234
100,4.410000,0.0832978723404
100,3.720000,0.60670212766
100,3.920000,0.40670212766
100,5.280000,0.95329787234
100,3.390000,0.93670212766
100,3.720000,0.60670212766
100,3.860000,0.46670212766
100,3.670000,0.65670212766
100,7.680000,3.35329787234
100,3.620000,0.70670212766
100,3.300000,1.02670212766
100,3.730000,0.59670212766
1150,3.257391,0.00984689705882
1150,3.291304,0.0240661029412
1150,3.241739,0.0254988970588
1150,3.253913,0.0133248970588
1150,3.266087,0.00115089705882
1150,3.264348,0.00288989705882
1150,3.260000,0.00723789705882
1150,3.270435,0.00319710294118
1150,3.282609,0.0153711029412
1150,3.277391,0.0101531029412
1150,3.282609,0.0153711029412
1150,3.255652,0.0115858970588
1150,3.275652,0.00841410294118
1150,3.269565,0.00232710294118
1150,3.270435,0.00319710294118
1150,3.283478,0.0162401029412
1150,3.260870,0.00636789705882
1150,3.265217,0.00202089705882
1150,3.280870,0.0136321029412
