nodes,maxhops,se
1000,19,17.332
1000,14,12.332
1000,17,15.332
1000,14,12.332
1000,20,18.332
1000,17,15.332
1000,17,15.332
1000,15,13.332
1000,15,13.332
1000,18,16.332
1000,16,14.332
1000,19,17.332
1000,16,14.332
1000,15,13.332
1000,16,14.332
1000,18,16.332
1000,15,13.332
1000,13,11.332
1000,19,17.332
1000,18,16.332
1000,15,13.332
1000,16,14.332
1000,18,16.332
1000,17,15.332
1000,16,14.332
1000,18,16.332
1000,20,18.332
1000,18,16.332
1000,17,15.332
1000,17,15.332
1000,17,15.332
1000,17,15.332
1000,15,13.332
1000,16,14.332
1000,19,17.332
1000,17,15.332
1000,16,14.332
1000,16,14.332
1000,16,14.332
1000,16,14.332
1000,16,14.332
1000,16,14.332
1000,15,13.332
1000,15,13.332
1000,18,16.332
1000,20,18.332
1000,17,15.332
1000,22,20.332
1000,16,14.332
1000,20,18.332
1000,16,14.332
1000,18,16.332
1000,15,13.332
1000,16,14.332
1000,16,14.332
1000,15,13.332
1000,18,16.332
1000,15,13.332
1000,15,13.332
1000,15,13.332
1000,15,13.332
1000,15,13.332
1000,17,15.332
1000,15,13.332
1000,18,16.332
1000,16,14.332
1000,14,12.332
1000,18,16.332
1000,17,15.332
1000,15,13.332
1000,18,16.332
1000,15,13.332
1000,17,15.332
1000,18,16.332
1000,18,16.332
1000,16,14.332
1000,16,14.332
1000,14,12.332
1000,19,17.332
1000,18,16.332
1000,16,14.332
1000,17,15.332
1000,13,11.332
1000,18,16.332
1000,13,11.332
1000,22,20.332
1000,16,14.332
1000,17,15.332
1000,19,17.332
1000,16,14.332
1000,15,13.332
1000,17,15.332
1000,17,15.332
1000,19,17.332
1000,19,17.332
1000,15,13.332
1000,19,17.332
1000,17,15.332
1000,15,13.332
1000,17,15.332
100,20,5.95
100,17,2.95
100,15,0.95
100,13,1.05
100,12,2.05
100,13,1.05
100,14,0.05
100,13,1.05
100,17,2.95
100,12,2.05
100,16,1.95
100,17,2.95
100,15,0.95
100,13,1.05
100,14,0.05
100,11,3.05
100,15,0.95
100,13,1.05
100,14,0.05
100,12,2.05
100,15,0.95
100,17,2.95
100,13,1.05
100,22,7.95
100,16,1.95
100,20,5.95
100,14,0.05
100,16,1.95
100,14,0.05
100,16,1.95
100,15,0.95
100,15,0.95
100,13,1.05
100,16,1.95
100,14,0.05
100,16,1.95
100,18,3.95
